CustomerID,Age,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn
39,44,Other,54,60.69,Month-to-month,Bank transfer,3256.74,Yes
40,76,Female,8,147.66,Month-to-month,Credit card,1199.26,Yes
41,80,Female,21,147.2,Month-to-month,Credit card,3093.44,No
42,59,Female,64,91.25,One year,Mailed check,5869.44,No
43,45,Female,72,18.59,Month-to-month,Bank transfer,1321.06,No
44,77,Female,26,123.94,Two year,Electronic check,3341.82,No
45,33,Female,31,64.98,Month-to-month,Bank transfer,1970.89,No
46,32,Female,43,123.26,Month-to-month,Credit card,5309.91,Yes
47,79,Female,11,132.11,One year,Mailed check,1503.38,No
48,79,Male,60,109.56,Month-to-month,Electronic check,6571.0,No
49,64,Male,21,20.63,Month-to-month,Credit card,410.7,No
50,79,Male,31,106.26,One year,Credit card,3292.82,No
51,68,Female,4,25.47,Month-to-month,Bank transfer,166.39,Yes
52,61,Male,65,80.54,Month-to-month,Electronic check,5283.5,No
53,72,Female,13,146.73,Month-to-month,Mailed check,1874.59,Yes
54,69,Male,55,54.36,One year,Electronic check,3010.43,No
55,74,Male,15,16.82,One year,Credit card,243.95,No
56,20,Male,41,146.78,Month-to-month,Electronic check,6087.21,Yes
57,54,Female,61,12.98,Two year,Mailed check,804.53,No
58,68,Female,48,46.84,Two year,Electronic check,2325.9,No
59,24,Male,38,84.07,Two year,Electronic check,3273.46,No
60,38,Female,67,84.6,Two year,Electronic check,5650.21,No
61,26,Male,27,53.01,Month-to-month,Electronic check,1432.2,No
62,56,Female,60,99.99,Two year,Credit card,6053.65,No
63,35,Female,5,121.2,Month-to-month,Bank transfer,622.13,Yes
64,21,Female,19,128.08,One year,Credit card,2497.12,No
65,42,Female,64,97.92,Month-to-month,Credit card,6256.8,No
66,77,Female,21,82.76,One year,Mailed check,1661.72,No
67,31,Male,36,75.87,Two year,Mailed check,2766.55,No
68,67,Female,51,45.65,Month-to-month,Electronic check,2188.85,No
69,75,Male,17,22.71,One year,Credit card,461.02,No
70,26,Male,23,38.08,One year,Electronic check,874.03,No
71,43,Male,63,46.51,One year,Credit card,2909.08,No
72,70,Male,64,31.42,One year,Bank transfer,2043.03,No
73,19,Female,48,65.47,Two year,Credit card,3163.3,No
74,37,Male,39,101.4,Month-to-month,Bank transfer,3995.06,No
75,45,Female,66,109.56,Two year,Mailed check,7203.52,No
76,64,Female,26,123.87,One year,Credit card,3151.6,No
77,77,Female,17,43.79,Month-to-month,Bank transfer,772.32,No
78,24,Male,35,59.02,Month-to-month,Electronic check,2033.61,Yes
79,61,Male,67,137.28,Month-to-month,Mailed check,9159.23,No
80,78,Female,72,85.8,One year,Mailed check,6147.34,No
81,25,Female,22,80.4,One year,Electronic check,1751.15,No
82,64,Female,3,28.74,Month-to-month,Bank transfer,195.98,No
83,52,Male,6,47.8,One year,Electronic check,335.08,No
84,31,Female,51,34.12,Two year,Mailed check,1747.12,No
85,34,Female,65,74.7,Month-to-month,Electronic check,4780.79,Yes
86,53,Female,67,131.89,Month-to-month,Bank transfer,8921.84,No
87,67,Female,14,116.05,Month-to-month,Electronic check,1542.28,Yes
88,57,Female,29,13.73,Month-to-month,Mailed check,375.93,No
89,21,Female,60,69.11,Month-to-month,Bank transfer,4029.69,No
90,19,Male,10,115.89,One year,Electronic check,1183.52,Yes
91,79,Female,39,16.2,Month-to-month,Mailed check,566.31,No
92,23,Female,21,129.78,Month-to-month,Mailed check,2696.9,Yes
93,71,Male,33,118.99,Two year,Mailed check,3934.29,No
94,59,Male,49,49.77,Month-to-month,Mailed check,2397.36,No
95,21,Female,13,37.83,Month-to-month,Credit card,461.4,Yes
96,71,Female,66,68.93,Month-to-month,Bank transfer,4518.97,Yes
97,46,Female,36,61.76,Two year,Electronic check,2303.37,No
98,80,Female,13,93.73,Month-to-month,Credit card,1265.5,No
99,35,Male,2,135.96,Two year,Bank transfer,231.04,No
100,43,Female,2,33.79,One year,Credit card,16.04,No
101,61,Female,30,25.06,Two year,Credit card,761.31,No
102,51,Male,34,43.53,Month-to-month,Electronic check,1562.42,No
103,27,Male,36,67.53,Month-to-month,Electronic check,2408.91,No
104,79,Male,39,49.75,One year,Bank transfer,1937.6,No
105,53,Male,26,98.48,One year,Bank transfer,2485.57,No
106,31,Female,56,118.17,Two year,Bank transfer,6655.32,No
107,48,Male,63,66.6,One year,Electronic check,4224.63,No
108,65,Male,32,69.34,One year,Credit card,2228.55,No
109,32,Male,52,130.15,Two year,Bank transfer,6817.07,No
110,25,Female,28,128.43,Two year,Mailed check,3671.88,No
111,31,Male,12,95.64,Month-to-month,Electronic check,1118.52,No
112,40,Male,16,51.44,One year,Bank transfer,821.03,No
113,77,Male,46,116.39,Two year,Electronic check,5295.75,Yes
114,74,Male,66,103.48,One year,Electronic check,6823.12,No
115,79,Male,16,29.5,Month-to-month,Credit card,485.68,Yes
116,57,Female,2,42.57,Month-to-month,Bank transfer,30.78,Yes
117,38,Male,39,46.26,Month-to-month,Mailed check,1835.93,No
118,33,Male,14,69.01,Month-to-month,Electronic check,980.42,Yes
119,62,Male,20,53.0,Two year,Electronic check,1075.37,No
120,35,Female,31,89.56,Month-to-month,Electronic check,2752.03,No
121,64,Male,14,148.24,Month-to-month,Electronic check,2078.32,Yes
122,70,Other,59,72.44,Two year,Mailed check,4316.13,No
123,41,Female,41,144.63,One year,Mailed check,6004.58,No
124,43,Male,50,19.55,One year,Mailed check,906.89,No
125,42,Female,17,128.18,Month-to-month,Mailed check,2180.25,No
126,77,Female,57,140.93,Two year,Credit card,8067.86,Yes
127,77,Female,28,90.16,Two year,Electronic check,2520.21,No
128,77,Female,34,112.89,One year,Electronic check,3818.67,No
129,62,Female,8,18.68,One year,Mailed check,116.51,Yes
130,58,Male,46,74.15,One year,Mailed check,3427.25,No
131,46,Female,10,81.33,Month-to-month,Credit card,841.48,Yes
132,32,Female,22,126.8,One year,Bank transfer,2785.58,No
133,62,Male,44,141.25,One year,Mailed check,6283.47,Yes
134,18,Other,64,39.69,Month-to-month,Mailed check,2573.79,Yes
135,42,Male,26,99.25,Month-to-month,Mailed check,2542.89,Yes
136,24,Female,39,69.41,One year,Mailed check,2677.1,No
137,26,Female,26,84.42,One year,Credit card,2215.78,No
138,41,Female,24,34.38,One year,Credit card,839.54,No
139,18,Female,50,72.03,Two year,Credit card,3674.81,No
140,61,Female,40,80.73,Month-to-month,Electronic check,3151.83,No
141,25,Male,45,37.19,One year,Credit card,1611.73,No
142,41,Female,52,99.54,Month-to-month,Electronic check,5187.83,No
143,80,Male,40,135.46,Month-to-month,Credit card,5395.02,Yes
144,28,Male,30,41.51,Two year,Electronic check,1318.15,No
145,68,Female,52,122.72,One year,Electronic check,6421.78,No
146,34,Male,16,96.9,Month-to-month,Mailed check,1519.12,No
147,25,Male,56,94.09,Month-to-month,Mailed check,5288.45,Yes
148,52,Female,41,134.85,Month-to-month,Electronic check,5515.52,No
149,52,Male,38,81.59,Month-to-month,Mailed check,3133.45,No
150,50,Male,7,18.78,Month-to-month,Electronic check,260.91,Yes
151,76,Female,35,109.05,Month-to-month,Bank transfer,3806.81,Yes
152,22,Female,70,109.38,One year,Mailed check,7680.28,No
153,59,Male,40,100.18,One year,Electronic check,3973.92,Yes
154,56,Female,11,58.94,Two year,Bank transfer,632.55,No
155,75,Other,31,28.2,Month-to-month,Credit card,861.55,No
156,58,Female,58,129.16,Month-to-month,Mailed check,7441.72,No
157,45,Female,30,96.0,Two year,Bank transfer,2897.67,No
158,24,Male,30,129.99,Month-to-month,Credit card,3822.28,Yes
159,26,Male,10,20.12,One year,Mailed check,168.94,No
160,25,Female,2,77.14,Month-to-month,Bank transfer,163.32,No
161,29,Male,17,28.24,Month-to-month,Mailed check,409.34,Yes
162,51,Female,60,66.68,Two year,Credit card,3909.46,No
163,50,Female,1,78.66,Two year,Mailed check,106.67,No
164,65,Female,58,65.35,Two year,Credit card,3752.79,No
165,72,Male,45,119.49,One year,Electronic check,5307.56,No
166,40,Male,59,74.54,Two year,Credit card,4417.96,No
167,79,Female,32,21.5,One year,Bank transfer,668.08,No
168,41,Female,38,131.1,Month-to-month,Electronic check,4979.38,No
169,54,Female,60,38.47,Month-to-month,Bank transfer,2433.4,No
170,52,Male,44,95.9,Month-to-month,Electronic check,4304.53,No
171,61,Female,68,28.2,Two year,Electronic check,1993.35,No
172,57,Female,59,85.13,Month-to-month,Credit card,4957.76,Yes
173,39,Male,3,26.8,Month-to-month,Credit card,99.52,Yes
174,44,Male,37,99.63,Two year,Bank transfer,3714.96,No
175,52,Female,29,126.77,Two year,Bank transfer,3652.75,Yes
176,18,Male,57,148.36,Two year,Credit card,8381.84,No
177,52,Female,72,27.61,One year,Credit card,2008.03,No
178,54,Male,47,71.93,Month-to-month,Mailed check,3326.69,No
179,64,Female,30,80.82,Two year,Electronic check,2492.69,No
180,31,Male,45,131.71,Month-to-month,Electronic check,5837.86,Yes
181,20,Female,41,136.8,One year,Mailed check,5622.28,No
182,18,Male,68,37.4,Month-to-month,Electronic check,2567.98,No
183,22,Male,16,20.35,Two year,Bank transfer,324.89,No
184,43,Male,24,108.5,Two year,Credit card,2576.49,Yes
185,72,Male,46,146.92,Month-to-month,Bank transfer,6738.96,Yes
186,80,Male,29,47.73,Two year,Bank transfer,1335.53,No
187,31,Male,46,53.76,Month-to-month,Mailed check,2517.07,Yes
188,56,Male,13,127.23,Month-to-month,Bank transfer,1640.84,No
189,44,Male,35,142.85,Month-to-month,Electronic check,5014.33,No
190,26,Other,66,33.29,One year,Mailed check,2104.57,No
191,32,Male,10,100.47,Two year,Mailed check,907.67,Yes
192,32,Male,16,65.64,Month-to-month,Electronic check,1113.73,No
193,43,Male,5,112.23,Two year,Bank transfer,516.87,Yes
194,59,Female,32,26.02,One year,Bank transfer,783.01,No
195,77,Female,38,82.37,One year,Electronic check,3170.33,No
196,30,Male,34,53.2,Two year,Electronic check,1776.34,No
197,68,Male,30,21.14,Month-to-month,Bank transfer,586.35,No
198,80,Female,27,11.82,Month-to-month,Bank transfer,394.7,No
199,49,Female,61,15.26,Month-to-month,Mailed check,943.06,No
200,56,Female,45,92.02,One year,Credit card,4154.64,No
201,66,Male,16,82.56,Month-to-month,Mailed check,1340.11,No
202,69,Female,65,127.25,Two year,Mailed check,8155.16,No
203,78,Male,2,91.03,Two year,Credit card,145.01,Yes
204,49,Female,18,33.15,Two year,Credit card,612.16,No
205,21,Male,14,21.03,Month-to-month,Electronic check,255.42,No
206,47,Female,53,17.91,Month-to-month,Electronic check,930.7,No
207,54,Female,57,35.31,Two year,Credit card,2025.44,No
208,40,Female,49,103.07,One year,Electronic check,5076.59,Yes
209,56,Female,18,34.92,Month-to-month,Credit card,594.64,No
210,62,Male,54,144.76,Month-to-month,Bank transfer,7809.66,Yes
211,32,Female,59,11.23,One year,Bank transfer,658.52,No
212,60,Female,32,140.11,One year,Electronic check,4361.82,Yes
213,46,Male,46,141.24,Month-to-month,Bank transfer,6503.01,Yes
214,53,Male,69,135.93,Month-to-month,Credit card,9353.91,Yes
215,30,Female,20,54.26,Month-to-month,Bank transfer,1045.95,No
216,49,Female,50,65.0,Month-to-month,Bank transfer,3232.11,No
217,24,Female,18,34.5,Month-to-month,Credit card,651.03,Yes
218,76,Female,22,120.48,Two year,Mailed check,2679.32,Yes
219,68,Other,5,73.89,Month-to-month,Mailed check,399.16,Yes
220,39,Female,69,66.44,One year,Mailed check,4625.55,No
221,45,Male,49,107.65,Month-to-month,Credit card,5238.08,No
222,19,Male,33,66.44,Month-to-month,Mailed check,2202.27,No
223,59,Male,41,40.41,One year,Bank transfer,1618.51,No
224,62,Male,8,93.44,One year,Mailed check,803.0,Yes
225,79,Male,11,112.02,Month-to-month,Electronic check,1185.41,Yes
226,74,Female,31,122.63,One year,Mailed check,3757.77,Yes
227,70,Female,55,147.48,Month-to-month,Bank transfer,8091.33,Yes
228,23,Female,51,13.19,Month-to-month,Bank transfer,620.83,Yes
229,45,Male,62,26.96,Month-to-month,Electronic check,1682.98,No
230,45,Female,21,70.17,One year,Electronic check,1554.87,No
231,61,Female,26,55.76,Two year,Electronic check,1437.57,No
232,61,Male,13,62.27,Month-to-month,Mailed check,880.39,No
233,37,Female,67,55.02,Two year,Mailed check,3670.16,No
234,47,Female,44,142.46,One year,Credit card,6376.73,No
235,79,Male,3,118.58,One year,Credit card,358.51,Yes
236,28,Other,20,95.09,Month-to-month,Bank transfer,1922.28,Yes
237,75,Female,6,64.37,Month-to-month,Credit card,437.61,Yes
238,72,Female,4,146.66,Month-to-month,Mailed check,625.05,Yes
239,45,Male,23,74.93,Month-to-month,Bank transfer,1664.45,No
240,42,Male,5,127.43,One year,Electronic check,746.11,Yes
241,56,Female,12,141.42,One year,Electronic check,1702.71,No
242,79,Female,60,127.18,Two year,Electronic check,7596.62,No
243,50,Female,26,118.71,One year,Electronic check,3095.84,No
244,18,Female,59,103.39,Month-to-month,Credit card,6068.78,No
245,74,Female,13,77.35,Two year,Electronic check,994.61,No
246,44,Male,9,42.69,One year,Bank transfer,374.48,No
247,79,Female,43,109.71,Month-to-month,Bank transfer,4714.72,Yes
248,74,Female,23,121.76,Month-to-month,Electronic check,2788.21,Yes
249,69,Male,22,47.7,Two year,Electronic check,1173.39,No
250,30,Female,42,119.57,Two year,Credit card,4926.1,No
251,58,Female,49,16.96,Month-to-month,Bank transfer,906.77,No
252,20,Male,32,15.55,Month-to-month,Mailed check,538.02,No
253,56,Female,8,33.21,Month-to-month,Mailed check,273.57,Yes
254,23,Female,21,108.5,One year,Credit card,2155.77,No
255,25,Female,65,42.87,Two year,Electronic check,2793.43,No
256,44,Male,27,99.04,Month-to-month,Mailed check,2602.46,No
257,26,Other,18,68.83,One year,Mailed check,1240.31,No
258,79,Male,45,38.85,Month-to-month,Credit card,1757.78,Yes
259,54,Female,49,99.69,Month-to-month,Electronic check,4940.58,No
260,50,Male,49,80.07,One year,Mailed check,3867.83,No
261,68,Male,5,65.17,Month-to-month,Mailed check,305.89,Yes
262,59,Female,65,139.51,Month-to-month,Mailed check,9116.49,No
263,61,Female,48,117.42,Month-to-month,Credit card,5656.31,Yes
264,41,Female,58,20.91,Month-to-month,Mailed check,1177.68,No
265,32,Male,23,146.33,One year,Electronic check,3368.22,No
266,76,Female,43,109.02,One year,Mailed check,4670.49,No
267,71,Male,48,28.37,Month-to-month,Credit card,1336.11,No
268,49,Male,12,63.44,One year,Electronic check,666.07,No
269,49,Female,33,141.2,Two year,Mailed check,4569.72,Yes
270,41,Male,72,50.39,Month-to-month,Mailed check,3698.68,Yes
271,58,Male,8,66.68,Month-to-month,Bank transfer,473.9,Yes
272,69,Female,11,145.43,One year,Electronic check,1591.54,Yes
273,66,Female,18,93.71,Month-to-month,Electronic check,1679.65,No
274,79,Female,59,50.9,Month-to-month,Electronic check,2908.57,No
275,66,Female,34,148.47,Month-to-month,Credit card,4953.95,Yes
276,75,Male,15,61.87,One year,Bank transfer,918.73,No
277,69,Male,60,76.55,Month-to-month,Electronic check,4552.89,No
278,29,Female,68,56.77,One year,Electronic check,3823.07,No
279,79,Male,48,77.48,Month-to-month,Electronic check,3723.19,No
280,56,Female,56,96.28,Two year,Electronic check,5414.94,No
281,19,Male,62,133.67,Month-to-month,Electronic check,8315.19,Yes
282,20,Female,32,122.63,Two year,Bank transfer,3947.81,No
283,66,Male,44,76.28,Month-to-month,Electronic check,3322.95,No
284,54,Male,5,77.79,Month-to-month,Electronic check,408.0,Yes
285,66,Female,59,95.13,Month-to-month,Credit card,5660.57,No
286,73,Male,37,139.75,Two year,Credit card,5154.78,No
287,34,Female,26,140.35,Month-to-month,Bank transfer,3661.78,No
288,76,Female,20,129.81,One year,Mailed check,2574.62,No
289,66,Female,48,36.45,One year,Electronic check,1780.39,No
290,19,Male,18,114.36,Month-to-month,Electronic check,2106.36,No
291,19,Female,37,112.35,Month-to-month,Electronic check,4274.04,Yes
292,45,Female,70,18.95,Month-to-month,Electronic check,1371.62,No
293,71,Female,14,147.57,One year,Electronic check,2032.17,No
294,40,Female,72,124.64,One year,Electronic check,8958.66,Yes
295,54,Female,14,138.85,Month-to-month,Bank transfer,1855.07,Yes
296,49,Female,26,36.33,Month-to-month,Electronic check,1000.37,No
297,50,Male,22,132.45,Month-to-month,Bank transfer,2917.94,Yes
298,18,Other,40,39.55,One year,Credit card,1624.92,No
299,36,Male,1,20.42,Two year,Mailed check,16.88,No
300,79,Other,15,64.9,Month-to-month,Bank transfer,1064.37,Yes
301,19,Male,18,114.02,Month-to-month,Mailed check,2076.17,Yes
302,70,Male,29,94.83,One year,Mailed check,2752.31,No
303,61,Female,7,86.35,Month-to-month,Electronic check,530.4,Yes
304,43,Male,3,40.25,Two year,Credit card,165.3,No
305,49,Male,15,74.59,One year,Credit card,1184.31,No
306,23,Female,2,118.76,Two year,Credit card,291.15,Yes
307,49,Female,34,62.14,One year,Mailed check,2081.92,No
308,72,Male,36,91.12,Two year,Bank transfer,3248.17,No
309,21,Male,53,62.11,Month-to-month,Bank transfer,3268.7,No
310,72,Female,71,79.15,One year,Electronic check,5568.81,No
311,28,Male,45,57.84,Month-to-month,Credit card,2642.89,Yes
312,73,Female,48,132.39,Month-to-month,Credit card,6298.35,Yes
313,76,Male,32,38.19,Month-to-month,Electronic check,1241.74,No
314,34,Male,57,68.5,Month-to-month,Credit card,3884.98,No
315,80,Female,41,88.91,One year,Bank transfer,3668.08,No
316,55,Female,31,25.53,Month-to-month,Mailed check,768.32,No
317,41,Female,2,79.8,Two year,Mailed check,67.97,No
318,22,Male,11,56.85,Month-to-month,Credit card,615.44,No
319,69,Female,66,53.39,Month-to-month,Mailed check,3510.53,Yes
320,51,Female,72,109.86,Month-to-month,Bank transfer,7969.17,Yes
321,23,Female,61,142.08,Two year,Mailed check,8595.35,No
322,39,Female,62,43.91,Month-to-month,Electronic check,2757.06,Yes
323,28,Other,3,129.5,One year,Credit card,350.94,Yes
324,80,Female,28,109.0,One year,Bank transfer,3052.5,No
325,65,Female,26,45.56,One year,Bank transfer,1132.39,No
326,33,Female,61,18.22,Month-to-month,Credit card,1114.96,No
327,50,Male,58,55.14,Month-to-month,Mailed check,3120.46,No
328,26,Male,37,56.13,One year,Credit card,2003.52,No
329,77,Female,43,111.13,One year,Electronic check,4734.0,Yes
330,76,Male,13,10.27,Two year,Bank transfer,137.07,No
331,23,Male,20,23.39,One year,Credit card,501.85,No
332,33,Male,31,124.61,Month-to-month,Mailed check,3876.42,Yes
333,46,Female,50,104.33,Two year,Mailed check,5271.55,No
334,20,Female,52,43.35,Month-to-month,Electronic check,2313.55,No
335,37,Male,53,147.92,Two year,Electronic check,7798.17,No
336,77,Female,50,141.55,Month-to-month,Electronic check,7147.9,No
337,76,Male,66,63.0,Month-to-month,Bank transfer,4168.51,No
338,53,Female,62,91.04,One year,Credit card,5709.11,No
339,36,Male,3,90.09,Two year,Bank transfer,293.63,Yes
340,43,Female,48,53.38,Month-to-month,Credit card,2637.33,No
341,20,Male,50,144.48,Month-to-month,Bank transfer,7135.57,No
342,80,Female,45,80.98,Two year,Credit card,3660.55,No
343,36,Male,1,19.58,Month-to-month,Electronic check,9.45,No
344,37,Male,1,46.15,Month-to-month,Credit card,82.5,Yes
345,49,Female,66,148.17,Month-to-month,Credit card,9655.67,No
346,24,Male,28,10.17,Month-to-month,Electronic check,316.37,No
347,69,Male,27,11.91,One year,Mailed check,252.91,No
348,58,Male,57,71.26,Month-to-month,Mailed check,4166.85,No
349,50,Male,72,32.57,One year,Credit card,2239.72,No
350,57,Female,25,124.03,Month-to-month,Mailed check,3065.66,No
351,56,Male,13,106.87,One year,Credit card,1433.16,No
352,35,Male,4,88.2,Month-to-month,Credit card,340.51,Yes
353,57,Male,70,21.94,Month-to-month,Mailed check,1527.47,No
354,18,Male,61,15.59,Month-to-month,Electronic check,1007.32,No
355,28,Female,35,94.57,Month-to-month,Electronic check,3254.82,No
356,45,Female,13,12.06,Month-to-month,Mailed check,178.31,No
357,74,Male,72,49.84,Month-to-month,Mailed check,3600.14,No
358,42,Female,35,47.22,One year,Electronic check,1644.58,No
359,67,Female,58,22.48,Two year,Electronic check,1229.83,No
360,40,Male,62,30.47,Month-to-month,Bank transfer,1938.91,No
361,48,Female,42,77.32,One year,Electronic check,3281.64,No
362,47,Female,29,43.12,Month-to-month,Electronic check,1282.32,Yes
363,59,Female,6,88.76,Month-to-month,Electronic check,499.47,Yes
364,52,Female,16,109.21,Month-to-month,Bank transfer,1846.49,No
365,24,Male,59,144.69,Month-to-month,Credit card,8544.11,Yes
366,77,Male,23,125.03,One year,Bank transfer,2921.38,No
367,33,Female,39,49.78,Month-to-month,Mailed check,1957.11,No
368,43,Male,40,16.47,Month-to-month,Electronic check,726.16,No
369,65,Male,32,108.29,Two year,Mailed check,3441.26,Yes
370,74,Female,3,64.94,One year,Bank transfer,170.23,Yes
371,69,Female,6,74.02,One year,Electronic check,504.51,Yes
372,77,Male,4,84.74,One year,Credit card,345.83,No
373,66,Male,20,126.32,One year,Electronic check,2512.11,Yes
374,19,Male,5,30.97,Two year,Bank transfer,181.52,Yes
375,18,Male,42,103.94,One year,Mailed check,4355.84,No
376,65,Female,14,123.34,Month-to-month,Credit card,1748.93,Yes
377,79,Other,3,32.15,One year,Mailed check,149.66,No
378,29,Female,19,101.04,Two year,Electronic check,1905.27,No
379,22,Male,66,116.8,Month-to-month,Credit card,7626.3,Yes
380,54,Female,66,52.8,Month-to-month,Mailed check,3372.75,No
381,49,Female,15,41.81,Month-to-month,Mailed check,619.08,No
382,76,Female,72,135.51,Month-to-month,Bank transfer,9741.19,No
383,72,Female,30,82.2,Month-to-month,Mailed check,2575.07,Yes
384,26,Female,49,56.62,Month-to-month,Credit card,2811.42,Yes
385,58,Female,55,41.19,Month-to-month,Mailed check,2227.9,Yes
386,52,Male,57,140.61,Two year,Electronic check,8056.65,No
387,36,Female,33,81.55,One year,Bank transfer,2703.12,No
388,65,Female,68,131.7,Month-to-month,Electronic check,9021.86,No
389,33,Female,10,126.95,Two year,Electronic check,1282.29,Yes
390,20,Female,1,66.51,Two year,Electronic check,80.1,No
391,37,Female,26,142.5,Month-to-month,Electronic check,3729.53,Yes
392,41,Female,39,128.56,Month-to-month,Bank transfer,4986.51,No
393,71,Male,51,143.68,Month-to-month,Mailed check,7258.72,Yes
394,73,Female,28,26.29,One year,Electronic check,663.14,No
395,50,Female,59,120.47,Month-to-month,Electronic check,7071.1,No
396,41,Female,61,84.46,Two year,Credit card,5234.3,No
397,69,Male,9,84.8,One year,Electronic check,773.65,No
398,28,Female,42,119.93,One year,Bank transfer,4939.98,No
399,66,Female,70,49.52,One year,Bank transfer,3484.72,No
400,25,Female,19,94.43,Month-to-month,Electronic check,1783.42,No
401,53,Female,30,117.81,Two year,Bank transfer,3543.16,No
402,55,Female,63,85.06,Month-to-month,Bank transfer,5288.43,No
403,57,Female,7,57.3,Month-to-month,Bank transfer,397.64,Yes
404,37,Male,32,139.7,Two year,Electronic check,4377.29,No
405,79,Female,9,40.03,Two year,Electronic check,399.29,Yes
406,52,Other,54,22.39,Month-to-month,Credit card,1191.43,No
407,65,Male,65,111.92,One year,Bank transfer,7315.89,No
408,79,Male,3,75.27,Month-to-month,Bank transfer,192.55,Yes
409,42,Female,22,66.93,Month-to-month,Bank transfer,1432.33,No
410,52,Male,69,47.69,Two year,Electronic check,3290.19,No
411,42,Male,71,33.91,One year,Bank transfer,2521.61,No
412,46,Female,34,27.65,Month-to-month,Credit card,928.47,No
413,35,Other,46,59.44,Month-to-month,Mailed check,2779.77,No
414,63,Male,48,142.07,Month-to-month,Credit card,6764.01,Yes
415,35,Female,21,95.93,Two year,Mailed check,2013.37,No
416,19,Female,41,78.67,One year,Credit card,3179.64,No
417,71,Female,14,41.38,One year,Bank transfer,628.26,No
418,52,Male,30,110.8,Month-to-month,Bank transfer,3243.17,Yes
419,33,Female,23,26.97,Month-to-month,Electronic check,672.25,Yes
420,78,Male,4,83.05,One year,Electronic check,315.46,Yes
421,58,Female,24,38.95,Two year,Credit card,983.62,No
422,53,Female,72,21.58,Month-to-month,Bank transfer,1658.9,No
423,50,Male,4,70.93,Two year,Electronic check,302.98,No
424,21,Male,32,41.76,Month-to-month,Bank transfer,1365.28,No
425,50,Male,41,54.42,Month-to-month,Electronic check,2149.17,No
426,31,Female,12,40.34,One year,Electronic check,394.93,No
427,38,Female,5,89.86,One year,Electronic check,432.85,Yes
428,65,Female,27,109.74,Month-to-month,Credit card,2928.6,No
429,37,Male,11,25.89,One year,Electronic check,178.99,Yes
430,73,Female,64,85.54,One year,Electronic check,5529.34,No
431,25,Female,17,97.71,Month-to-month,Electronic check,1730.37,No
432,24,Female,7,112.41,Month-to-month,Electronic check,769.4,Yes
433,20,Male,40,101.46,Two year,Mailed check,4059.22,No
434,34,Female,8,74.37,One year,Mailed check,609.14,No
435,50,Male,26,44.15,Two year,Credit card,1177.18,No
436,65,Male,67,89.75,One year,Mailed check,5993.06,No
437,29,Male,18,111.27,One year,Electronic check,2112.07,Yes
438,76,Male,50,62.74,Month-to-month,Electronic check,3196.13,No
439,68,Male,45,20.28,One year,Bank transfer,914.43,No
